Incident Datetime;Incident Date;Incident Time;Incident Day of Week;Report Datetime;Incident Category;Resolution;Police District ;Analysis Neighborhood;Latitude;Longitude
02/07/2022 22:53;02/07/2022;22:53;Saturday;02/07/2022 23:00;Assault;Open or Active;Bayview;Bayview Hunters Point;37.719298464887245;-122.39001968579463
09/07/2021 20:35;09/07/2021;20:35;Friday;09/07/2021 20:36;Non-Criminal;Open or Active;Bayview;Bayview Hunters Point;37.732434022666936;-122.38380325319487
22/01/2022 05:32;22/01/2022;05:32;Saturday;22/01/2022 05:32;Arson;Open or Active;Bayview;Bayview Hunters Point;37.74595385526537;-122.40202670344281
14/09/2021 21:56;14/09/2021;21:56;Tuesday;14/09/2021 21:59;Non-Criminal;Open or Active;Bayview;Bayview Hunters Point;37.73493313717421;-122.38606720211364
30/10/2021 01:40;30/10/2021;01:40;Saturday;30/10/2021 01:40;Assault;Open or Active;Bayview;Bayview Hunters Point;37.73686374466345;-122.39766569621433
21/03/2022 15:11;21/03/2022;15:11;Monday;21/03/2022 15:11;Other Offenses;Open or Active;Central;Bayview Hunters Point;37.74388333564679;-122.38311822134833
30/06/2022 22:00;30/06/2022;22:00;Thursday;30/06/2022 22:12;Non-Criminal;Open or Active;Bayview;Bayview Hunters Point;37.73927590153057;-122.40024641045045
05/04/2022 09:54;05/04/2022;09:54;Tuesday;05/04/2022 10:20;Robbery;Open or Active;Bayview;Bayview Hunters Point;37.7428968146528;-122.3970013283792
07/12/2021 16:21;07/12/2021;16:21;Tuesday;07/12/2021 16:21;Traffic Collision;Open or Active;Bayview;Bayview Hunters Point;37.750580761479114;-122.40218351932117
12/03/2022 11:50;12/03/2022;11:50;Saturday;12/03/2022 12:06;Assault;Cite or Arrest Adult;Bayview;Bayview Hunters Point;37.7428968146528;-122.3970013283792
11/07/2022 23:14;11/07/2022;23:14;Monday;11/07/2022 23:14;Assault;Open or Active;Bayview;Bayview Hunters Point;37.718834357405456;-122.39747873558031
30/07/2022 11:00;30/07/2022;11:00;Saturday;30/07/2022 21:31;Missing Person;Open or Active;Bayview;Bayview Hunters Point;37.722752176282405;-122.39540516618375
31/08/2022 03:30;31/08/2022;03:30;Wednesday;31/08/2022 03:36;Fire Report;Open or Active;Bayview;Bayview Hunters Point;37.72097598590643;-122.39130649030375
31/03/2024 19:42;31/03/2024;19:42;Sunday;02/05/2024 12:30;Case Closure;Cite or Arrest Adult;Bayview;Bayview Hunters Point;37.731109619140625;-122.37955474853516
29/11/2023 14:00;29/11/2023;14:00;Wednesday;29/11/2023 14:45;Disorderly Conduct;Cite or Arrest Adult;Bayview;Bayview Hunters Point;37.72990988256753;-122.39717687851248
29/09/2023 16:15;29/09/2023;16:15;Friday;29/09/2023 16:15;Suspicious Occ;Open or Active;Bayview;Bayview Hunters Point;37.7102503249434;-122.39770162236063
27/09/2023 22:30;27/09/2023;22:30;Wednesday;29/09/2023 13:25;Motor Vehicle Theft;Open or Active;Bayview;Bayview Hunters Point;37.73716953069777;-122.38986446334408
29/09/2023 07:40;29/09/2023;07:40;Friday;29/09/2023 10:10;Suspicious Occ;Open or Active;Bayview;Bayview Hunters Point;37.74110763100082;-122.38847589500467
29/09/2023 10:07;29/09/2023;10:07;Friday;29/09/2023 10:07;Motor Vehicle Theft;Open or Active;Bayview;Bayview Hunters Point;37.73628803879937;-122.39164756892751
29/09/2023 16:53;29/09/2023;16:53;Friday;29/09/2023 16:53;Other Miscellaneous;Cite or Arrest Adult;Bayview;Bayview Hunters Point;37.73100987038522;-122.37699954645048
09/03/2023 00:00;09/03/2023;00:00;Thursday;22/03/2023 14:00;Fraud;Open or Active;Bayview;Bayview Hunters Point;37.74019196645599;-122.37684733677168
01/12/2022 13:00;01/12/2022;13:00;Thursday;07/12/2022 11:42;Larceny Theft;Open or Active;Bayview;Bayview Hunters Point;37.717178947506795;-122.38626501459227
09/11/2022 05:25;09/11/2022;05:25;Wednesday;10/11/2022 20:26;Lost Property;Open or Active;Bayview;Bayview Hunters Point;37.73850009473432;-122.40388206741498
22/03/2023 20:00;22/03/2023;20:00;Wednesday;23/03/2023 07:07;Other Miscellaneous;Open or Active;Bayview;Bayview Hunters Point;37.73985319897475;-122.39126842523832
09/03/2023 00:00;09/03/2023;00:00;Thursday;22/03/2023 14:00;Forgery And Counterfeiting;Open or Active;Bayview;Bayview Hunters Point;37.74019196645599;-122.37684733677168
23/03/2023 19:19;23/03/2023;19:19;Thursday;23/03/2023 19:19;Motor Vehicle Theft;Open or Active;Bayview;Bayview Hunters Point;37.75020597412777;-122.3885077306853
05/03/2023 21:00;05/03/2023;21:00;Sunday;23/03/2023 17:35;Embezzlement;Open or Active;Bayview;Bayview Hunters Point;37.74252073319404;-122.40430629342
21/03/2023 16:00;21/03/2023;16:00;Tuesday;23/03/2023 12:23;Disorderly Conduct;Open or Active;Bayview;Bayview Hunters Point;37.72998041447379;-122.38885511785887
28/09/2023 14:40;28/09/2023;14:40;Thursday;28/09/2023 15:55;Assault;Open or Active;Bayview;Bayview Hunters Point;37.73528591836444;-122.39990933421034
23/03/2023 16:44;23/03/2023;16:44;Thursday;23/03/2023 16:44;Recovered Vehicle;Open or Active;Bayview;Bayview Hunters Point;37.72925450421249;-122.37258355600144
20/02/2023 16:30;20/02/2023;16:30;Monday;23/02/2023 14:39;Larceny Theft;Open or Active;Bayview;Bayview Hunters Point;37.73322326126074;-122.3912444943072
